Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Region,Category,Sub-Category,Product Name,Quantity,Unit Price,Sales,Discount,Profit
ORD-1073,15/03/2023,20/03/2023,Second Class,CUST-1073,Carol White,Corporate,East,Office Supplies,Chairs,Mouse Pad,3,107.23,321.69,0.1,32.17
ORD-1074,16/03/2023,19/03/2023,Standard Class,CUST-1074,John Doe,Home Office,East,Technology,Phones,Ring Binder,6,229.04,1374.24,0.0,274.85
ORD-1075,17/03/2023,18/03/2023,Second Class,CUST-1075,Bob Lee,Home Office,East,Furniture,Binders,Ring Binder,4,179.41,717.64,0.0,143.53
ORD-1076,18/03/2023,22/03/2023,Same Day,CUST-1076,Carol White,Corporate,West,Furniture,Accessories,Executive Chair,9,184.07,1656.63,0.1,165.66
ORD-1077,19/03/2023,22/03/2023,Same Day,CUST-1077,John Doe,Home Office,East,Furniture,Phones,Steel Cabinet,3,374.73,1124.19,0.1,112.42
ORD-1078,20/03/2023,23/03/2023,First Class,CUST-1078,Jane Smith,Consumer,Central,Office Supplies,Binders,Ring Binder,4,127.17,508.68,0.0,101.74
ORD-1079,21/03/2023,27/03/2023,Same Day,CUST-1079,Jane Smith,Consumer,East,Office Supplies,Tables,Executive Chair,7,328.09,2296.63,0.3,-229.66
ORD-1080,22/03/2023,24/03/2023,First Class,CUST-1080,John Doe,Corporate,Central,Office Supplies,Accessories,Ring Binder,7,293.91,2057.37,0.0,411.47
ORD-1081,23/03/2023,27/03/2023,Same Day,CUST-1081,Jane Smith,Corporate,South,Office Supplies,Tables,Steel Cabinet,4,292.68,1170.72,0.0,234.14
ORD-1082,24/03/2023,29/03/2023,Standard Class,CUST-1082,John Doe,Corporate,West,Technology,Storage,Mouse Pad,6,338.24,2029.44,0.0,405.89
ORD-1083,25/03/2023,28/03/2023,Same Day,CUST-1083,Carol White,Home Office,South,Technology,Accessories,iPhone 13,3,283.22,849.66,0.1,84.97
ORD-1084,26/03/2023,31/03/2023,First Class,CUST-1084,Carol White,Consumer,South,Office Supplies,Binders,Steel Cabinet,6,442.04,2652.24,0.3,-265.22
ORD-1085,27/03/2023,30/03/2023,First Class,CUST-1085,John Doe,Consumer,Central,Technology,Storage,Conference Table,2,344.28,688.56,0.0,137.71
ORD-1086,28/03/2023,02/04/2023,Second Class,CUST-1086,Carol White,Home Office,South,Furniture,Chairs,Ring Binder,8,282.54,2260.32,0.1,226.03
ORD-1087,29/03/2023,02/04/2023,Standard Class,CUST-1087,Carol White,Consumer,Central,Furniture,Binders,Ring Binder,2,418.29,836.58,0.2,0.0
ORD-1088,30/03/2023,01/04/2023,Same Day,CUST-1088,Carol White,Corporate,East,Furniture,Phones,Mouse Pad,7,310.95,2176.65,0.2,0.0
ORD-1089,31/03/2023,04/04/2023,Second Class,CUST-1089,Alice Johnson,Corporate,East,Office Supplies,Chairs,Conference Table,9,159.75,1437.75,0.0,287.55
ORD-1090,01/04/2023,07/04/2023,Same Day,CUST-1090,Bob Lee,Corporate,Central,Furniture,Chairs,Mouse Pad,1,119.41,119.41,0.2,0.0
ORD-1091,02/04/2023,03/04/2023,Same Day,CUST-1091,Jane Smith,Consumer,East,Technology,Phones,Conference Table,8,93.12,744.96,0.3,-74.5
ORD-1092,03/04/2023,05/04/2023,Second Class,CUST-1092,Alice Johnson,Corporate,West,Office Supplies,Accessories,iPhone 13,7,451.74,3162.18,0.2,0.0
ORD-1093,04/04/2023,08/04/2023,Second Class,CUST-1093,Carol White,Home Office,South,Technology,Chairs,Ring Binder,6,360.87,2165.22,0.2,0.0
ORD-1094,05/04/2023,11/04/2023,Second Class,CUST-1094,John Doe,Home Office,West,Furniture,Binders,Ring Binder,6,469.94,2819.64,0.3,-281.96
ORD-1095,06/04/2023,07/04/2023,Second Class,CUST-1095,Carol White,Consumer,South,Furniture,Storage,iPhone 13,6,309.58,1857.48,0.0,371.5
ORD-1096,07/04/2023,13/04/2023,Second Class,CUST-1096,Bob Lee,Home Office,East,Furniture,Chairs,Executive Chair,9,247.23,2225.07,0.0,445.01
ORD-1097,08/04/2023,11/04/2023,Same Day,CUST-1097,Carol White,Home Office,West,Office Supplies,Binders,Mouse Pad,2,48.66,97.32,0.3,-9.73
ORD-1098,09/04/2023,12/04/2023,Second Class,CUST-1098,John Doe,Consumer,East,Technology,Tables,iPhone 13,1,342.39,342.39,0.3,-34.24
ORD-1099,10/04/2023,15/04/2023,Standard Class,CUST-1099,Bob Lee,Corporate,South,Office Supplies,Binders,Mouse Pad,6,299.46,1796.76,0.3,-179.68
ORD-1100,11/04/2023,13/04/2023,First Class,CUST-1100,Carol White,Corporate,Central,Office Supplies,Storage,Steel Cabinet,8,495.3,3962.4,0.2,0.0
ORD-1101,12/04/2023,15/04/2023,Second Class,CUST-1101,Bob Lee,Corporate,Central,Furniture,Binders,Ring Binder,3,134.8,404.4,0.3,-40.44
ORD-1102,13/04/2023,19/04/2023,Second Class,CUST-1102,Jane Smith,Consumer,West,Office Supplies,Phones,Mouse Pad,1,274.75,274.75,0.1,27.48
ORD-1103,14/04/2023,16/04/2023,Same Day,CUST-1103,Jane Smith,Home Office,East,Office Supplies,Storage,Conference Table,9,332.46,2992.14,0.2,0.0
ORD-1104,15/04/2023,18/04/2023,Second Class,CUST-1104,Carol White,Corporate,East,Furniture,Accessories,Mouse Pad,1,329.4,329.4,0.0,65.88
ORD-1105,16/04/2023,21/04/2023,Second Class,CUST-1105,Bob Lee,Corporate,West,Office Supplies,Tables,Steel Cabinet,3,289.42,868.26,0.0,173.65
ORD-1106,17/04/2023,21/04/2023,Second Class,CUST-1106,John Doe,Consumer,Central,Furniture,Phones,Ring Binder,8,392.93,3143.44,0.0,628.69
ORD-1107,18/04/2023,23/04/2023,Same Day,CUST-1107,Carol White,Corporate,South,Furniture,Accessories,iPhone 13,3,118.39,355.17,0.2,0.0
ORD-1108,19/04/2023,20/04/2023,Second Class,CUST-1108,Jane Smith,Consumer,West,Furniture,Binders,Steel Cabinet,4,368.3,1473.2,0.1,147.32
ORD-1109,20/04/2023,23/04/2023,First Class,CUST-1109,Jane Smith,Home Office,South,Furniture,Storage,Ring Binder,8,317.47,2539.76,0.3,-253.98
ORD-1110,21/04/2023,22/04/2023,Same Day,CUST-1110,Carol White,Consumer,Central,Office Supplies,Tables,Mouse Pad,1,450.12,450.12,0.3,-45.01
ORD-1111,22/04/2023,23/04/2023,First Class,CUST-1111,Bob Lee,Consumer,East,Furniture,Phones,Executive Chair,6,426.65,2559.9,0.0,511.98
ORD-1112,23/04/2023,29/04/2023,Same Day,CUST-1112,Jane Smith,Consumer,Central,Furniture,Accessories,Executive Chair,1,171.27,171.27,0.0,34.25
ORD-1113,24/04/2023,26/04/2023,Second Class,CUST-1113,Bob Lee,Consumer,West,Office Supplies,Accessories,Conference Table,1,152.59,152.59,0.2,0.0
ORD-1114,25/04/2023,01/05/2023,First Class,CUST-1114,Jane Smith,Home Office,East,Office Supplies,Tables,Ring Binder,8,491.19,3929.52,0.1,392.95
ORD-1115,26/04/2023,29/04/2023,Same Day,CUST-1115,Jane Smith,Home Office,West,Technology,Binders,Executive Chair,4,273.09,1092.36,0.3,-109.24
ORD-1116,27/04/2023,28/04/2023,Standard Class,CUST-1116,Alice Johnson,Corporate,West,Office Supplies,Tables,iPhone 13,1,455.08,455.08,0.2,0.0
ORD-1117,28/04/2023,02/05/2023,Second Class,CUST-1117,Jane Smith,Home Office,Central,Office Supplies,Accessories,Ring Binder,7,98.66,690.62,0.3,-69.06
ORD-1118,29/04/2023,30/04/2023,Same Day,CUST-1118,John Doe,Home Office,West,Technology,Chairs,iPhone 13,5,328.55,1642.75,0.0,328.55
ORD-1119,30/04/2023,04/05/2023,Standard Class,CUST-1119,Carol White,Corporate,Central,Office Supplies,Phones,iPhone 13,5,408.73,2043.65,0.3,-204.36
ORD-1120,01/05/2023,07/05/2023,Same Day,CUST-1120,Carol White,Home Office,East,Office Supplies,Tables,Executive Chair,1,474.75,474.75,0.1,47.48
ORD-1121,02/05/2023,08/05/2023,Standard Class,CUST-1121,Bob Lee,Consumer,Central,Office Supplies,Accessories,Ring Binder,6,181.92,1091.52,0.1,109.15
ORD-1122,03/05/2023,05/05/2023,Second Class,CUST-1122,Jane Smith,Consumer,East,Office Supplies,Binders,Mouse Pad,9,367.99,3311.91,0.0,662.38
ORD-1123,04/05/2023,05/05/2023,First Class,CUST-1123,John Doe,Corporate,Central,Technology,Accessories,Steel Cabinet,9,278.63,2507.67,0.1,250.77
ORD-1124,05/05/2023,10/05/2023,Standard Class,CUST-1124,Bob Lee,Corporate,South,Office Supplies,Binders,Executive Chair,8,49.1,392.8,0.1,39.28
ORD-1125,06/05/2023,12/05/2023,Same Day,CUST-1125,Alice Johnson,Corporate,South,Office Supplies,Tables,Executive Chair,5,351.2,1756.0,0.2,0.0
ORD-1126,07/05/2023,13/05/2023,Second Class,CUST-1126,Bob Lee,Consumer,West,Technology,Binders,Mouse Pad,1,351.25,351.25,0.3,-35.12
ORD-1127,08/05/2023,10/05/2023,Standard Class,CUST-1127,Bob Lee,Home Office,Central,Furniture,Storage,Ring Binder,9,466.69,4200.21,0.0,840.04
ORD-1128,09/05/2023,13/05/2023,Same Day,CUST-1128,Jane Smith,Consumer,Central,Technology,Storage,Ring Binder,1,258.71,258.71,0.0,51.74
ORD-1129,10/05/2023,12/05/2023,Same Day,CUST-1129,Alice Johnson,Corporate,East,Furniture,Storage,iPhone 13,8,130.52,1044.16,0.0,208.83
ORD-1130,11/05/2023,12/05/2023,Same Day,CUST-1130,Bob Lee,Home Office,West,Technology,Chairs,Mouse Pad,5,41.39,206.95,0.0,41.39
ORD-1131,12/05/2023,15/05/2023,Standard Class,CUST-1131,John Doe,Home Office,Central,Technology,Tables,Mouse Pad,3,219.51,658.53,0.0,131.71
ORD-1132,13/05/2023,16/05/2023,Standard Class,CUST-1132,John Doe,Consumer,West,Office Supplies,Accessories,Ring Binder,7,164.92,1154.44,0.1,115.44
ORD-1133,14/05/2023,18/05/2023,Standard Class,CUST-1133,Carol White,Corporate,South,Furniture,Accessories,iPhone 13,7,385.32,2697.24,0.2,0.0
ORD-1134,15/05/2023,21/05/2023,First Class,CUST-1134,Alice Johnson,Consumer,Central,Office Supplies,Chairs,Executive Chair,9,190.05,1710.45,0.0,342.09
ORD-1135,16/05/2023,20/05/2023,Standard Class,CUST-1135,Alice Johnson,Home Office,Central,Furniture,Binders,Conference Table,7,475.55,3328.85,0.2,0.0
ORD-1136,17/05/2023,23/05/2023,Standard Class,CUST-1136,Carol White,Consumer,West,Technology,Chairs,Steel Cabinet,3,481.91,1445.73,0.2,0.0
ORD-1137,18/05/2023,24/05/2023,Standard Class,CUST-1137,Bob Lee,Consumer,Central,Technology,Binders,Executive Chair,1,318.04,318.04,0.1,31.8
ORD-1138,19/05/2023,22/05/2023,First Class,CUST-1138,Alice Johnson,Corporate,West,Furniture,Binders,Ring Binder,8,465.76,3726.08,0.0,745.22
ORD-1139,20/05/2023,24/05/2023,Standard Class,CUST-1139,John Doe,Corporate,Central,Office Supplies,Phones,Steel Cabinet,3,385.21,1155.63,0.1,115.56
ORD-1140,21/05/2023,23/05/2023,Same Day,CUST-1140,John Doe,Home Office,East,Office Supplies,Accessories,Conference Table,8,282.49,2259.92,0.0,451.98
ORD-1141,22/05/2023,28/05/2023,Standard Class,CUST-1141,Jane Smith,Consumer,West,Office Supplies,Storage,Conference Table,8,106.55,852.4,0.1,85.24
ORD-1142,23/05/2023,28/05/2023,Same Day,CUST-1142,Alice Johnson,Consumer,Central,Office Supplies,Binders,iPhone 13,5,240.13,1200.65,0.2,0.0
ORD-1143,24/05/2023,29/05/2023,Same Day,CUST-1143,Bob Lee,Consumer,South,Technology,Phones,Steel Cabinet,1,289.22,289.22,0.0,57.84
ORD-1144,25/05/2023,27/05/2023,Same Day,CUST-1144,Carol White,Home Office,Central,Technology,Accessories,iPhone 13,7,434.7,3042.9,0.3,-304.29
ORD-1145,26/05/2023,31/05/2023,First Class,CUST-1145,Carol White,Home Office,South,Technology,Storage,Executive Chair,5,251.04,1255.2,0.2,0.0
ORD-1146,27/05/2023,28/05/2023,First Class,CUST-1146,Bob Lee,Corporate,South,Technology,Binders,Mouse Pad,8,450.88,3607.04,0.3,-360.7
ORD-1147,28/05/2023,03/06/2023,First Class,CUST-1147,Jane Smith,Corporate,East,Technology,Binders,Mouse Pad,9,343.69,3093.21,0.2,0.0
ORD-1148,29/05/2023,31/05/2023,Standard Class,CUST-1148,Carol White,Corporate,West,Office Supplies,Chairs,Mouse Pad,7,85.76,600.32,0.1,60.03
ORD-1149,30/05/2023,03/06/2023,Same Day,CUST-1149,Alice Johnson,Consumer,Central,Office Supplies,Chairs,Steel Cabinet,7,497.59,3483.13,0.0,696.63
ORD-1150,31/05/2023,06/06/2023,First Class,CUST-1150,Jane Smith,Consumer,East,Office Supplies,Accessories,Mouse Pad,1,273.07,273.07,0.2,0.0
ORD-1151,01/06/2023,03/06/2023,First Class,CUST-1151,Alice Johnson,Corporate,Central,Office Supplies,Storage,Executive Chair,4,208.09,832.36,0.1,83.24
ORD-1152,02/06/2023,05/06/2023,Standard Class,CUST-1152,John Doe,Consumer,South,Technology,Binders,iPhone 13,2,336.37,672.74,0.0,134.55
ORD-1153,03/06/2023,07/06/2023,First Class,CUST-1153,Jane Smith,Corporate,West,Technology,Accessories,Steel Cabinet,2,72.27,144.54,0.0,28.91
ORD-1154,04/06/2023,07/06/2023,Standard Class,CUST-1154,Carol White,Home Office,Central,Technology,Accessories,iPhone 13,2,325.54,651.08,0.2,0.0
ORD-1155,05/06/2023,11/06/2023,Second Class,CUST-1155,Jane Smith,Corporate,Central,Furniture,Tables,Steel Cabinet,4,259.15,1036.6,0.0,207.32
ORD-1156,06/06/2023,10/06/2023,First Class,CUST-1156,Jane Smith,Home Office,South,Office Supplies,Chairs,iPhone 13,1,215.2,215.2,0.2,0.0
ORD-1157,07/06/2023,12/06/2023,Second Class,CUST-1157,Jane Smith,Consumer,Central,Office Supplies,Storage,Conference Table,4,477.45,1909.8,0.0,381.96
ORD-1158,08/06/2023,10/06/2023,Standard Class,CUST-1158,Jane Smith,Corporate,Central,Technology,Binders,iPhone 13,2,270.82,541.64,0.3,-54.16
ORD-1159,09/06/2023,15/06/2023,Same Day,CUST-1159,Alice Johnson,Consumer,South,Office Supplies,Accessories,Mouse Pad,5,125.18,625.9,0.1,62.59
ORD-1160,10/06/2023,11/06/2023,First Class,CUST-1160,John Doe,Home Office,East,Office Supplies,Binders,Conference Table,3,240.3,720.9,0.3,-72.09
ORD-1161,11/06/2023,15/06/2023,Standard Class,CUST-1161,Bob Lee,Home Office,South,Technology,Tables,iPhone 13,8,461.31,3690.48,0.2,0.0
ORD-1162,12/06/2023,16/06/2023,Same Day,CUST-1162,Jane Smith,Home Office,East,Furniture,Storage,Steel Cabinet,4,104.53,418.12,0.3,-41.81
ORD-1163,13/06/2023,19/06/2023,Same Day,CUST-1163,Carol White,Consumer,West,Furniture,Accessories,Steel Cabinet,1,122.7,122.7,0.2,0.0
ORD-1164,14/06/2023,20/06/2023,Second Class,CUST-1164,Jane Smith,Consumer,East,Furniture,Binders,Steel Cabinet,1,26.25,26.25,0.0,5.25
ORD-1165,15/06/2023,18/06/2023,Standard Class,CUST-1165,Carol White,Consumer,East,Technology,Chairs,Ring Binder,3,26.81,80.43,0.0,16.09
ORD-1166,16/06/2023,21/06/2023,Same Day,CUST-1166,Alice Johnson,Consumer,West,Office Supplies,Tables,Executive Chair,9,418.11,3762.99,0.2,0.0
